domain,filename,image_path,mean_saturation,edge_density,local_contrast,texture_entropy,self_similarity,clutter_score,hard_negative_score
forest_dense,beautiful-flora-patagonia-daytime.jpg,G:\내 드라이브\데이터셋\forest_dense\beautiful-flora-patagonia-daytime.jpg,90.405683,0.879567,27.691902,5.494778,0.567723,0.388448,0.696711
forest_dense,beautiful-landscape.jpg,G:\내 드라이브\데이터셋\forest_dense\beautiful-landscape.jpg,129.521114,0.625923,14.176873,5.471608,0.219503,0.384031,0.533393
forest_dense,burnt-trees-mountain.jpg,G:\내 드라이브\데이터셋\forest_dense\burnt-trees-mountain.jpg,29.659723,0.677532,12.975538,5.122726,0.153960,0.399140,0.677133
forest_dense,forest-landscape.jpg,G:\내 드라이브\데이터셋\forest_dense\forest-landscape.jpg,109.281645,0.551193,17.095060,5.770964,0.000000,0.305557,0.530339
forest_dense,forest-with-vegetation.jpg,G:\내 드라이브\데이터셋\forest_dense\forest-with-vegetation.jpg,51.022293,0.602200,13.688668,5.169840,0.086051,0.308608,0.625000
forest_dense,forest_dense_ (1).png,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (1).png,79.152473,0.158073,5.195469,5.227830,0.000000,0.269433,0.458518
forest_dense,forest_dense_ (10).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (10).jpg,0.000000,0.246256,5.358150,5.446928,0.257852,0.341856,0.712823
forest_dense,forest_dense_ (10).png,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (10).png,221.039648,0.295434,5.433306,4.813859,0.194702,0.344754,0.465717
forest_dense,forest_dense_ (102).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (102).jpg,63.418556,0.444671,4.300023,5.352226,0.000000,0.343452,0.556642
forest_dense,forest_dense_ (103).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (103).jpg,104.310586,0.126696,2.657314,4.609772,0.000000,0.350464,0.356622
forest_dense,forest_dense_ (104).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (104).jpg,40.930226,0.771503,14.958464,5.773048,0.000000,0.308785,0.645958
forest_dense,forest_dense_ (107).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (107).jpg,84.280092,0.166160,5.412868,5.436062,0.000000,0.304491,0.467468
forest_dense,forest_dense_ (108).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (108).jpg,34.772296,0.347100,5.154061,4.501976,0.227062,0.310380,0.611032
forest_dense,forest_dense_ (110).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (110).jpg,0.000000,0.204825,3.276034,5.525352,0.043091,0.340363,0.659819
forest_dense,forest_dense_ (112).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (112).jpg,56.790538,0.710898,13.958552,5.715601,0.000000,0.356802,0.616995
forest_dense,forest_dense_ (114).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (114).jpg,79.358916,0.310839,5.541304,4.935785,0.380886,0.346671,0.569192
