filename,environment,hard_positive_score,rank_in_group
image875.jpg,non_snow,0.97026388,1
image876.jpg,non_snow,0.96883498,2
image522.jpg,non_snow,0.94357256,3
image874.jpg,non_snow,0.91525376,4
image748.jpg,non_snow,0.91307012,5
image515.jpg,non_snow,0.90839806,6
image745.jpg,non_snow,0.90802058,7
image615.jpg,non_snow,0.90473615,8
image514.jpg,non_snow,0.90261485,9
image750.jpg,non_snow,0.89998227,10
image752.jpg,non_snow,0.89807296,11
image747.jpg,non_snow,0.89728121,12
image746.jpg,non_snow,0.89417893,13
image771.jpg,non_snow,0.89353005,14
image781.jpg,non_snow,0.89343592,15
image511.jpg,non_snow,0.89341051,16
image932.jpg,non_snow,0.89181438,17
image551.jpg,non_snow,0.88727029,18
image743.jpg,non_snow,0.88699900,19
imgR160.jpg,non_snow,0.88339774,20
image559.jpg,non_snow,0.88330040,21
image922.jpg,snow,0.96520649,1
image973.jpg,snow,0.94342213,2
image975.jpg,snow,0.94116979,3
image974.jpg,snow,0.94065772,4
image977.jpg,snow,0.93561913,5
image905.jpg,snow,0.91814182,6
image978.jpg,snow,0.91587026,7
image903.jpg,snow,0.91287660,8
image982.jpg,snow,0.90709620,9
